Plaintext,Ciphertext,Rotor Configurations,Ring Configurations
class,qeznb,0 0 0,0 0 0
if,hk,0 0 0,0 0 0
then,opcs,0 0 0,0 0 0
else,fepw,0 0 0,0 0 0
switch,jggfnj,0 0 0,0 0 0
async,bxwsn,0 0 0,0 0 0
await,bgzqx,0 0 0,0 0 0
throw,opxmq,0 0 0,0 0 0
request,vlvrrxh,0 0 0,0 0 0
future,evhren,0 0 0,0 0 0
void,rigl,0 0 0,0 0 0
tuple,ovsdr,0 0 0,0 0 0
TheFoxJumpsHigh,opctasbdoljorzb,0 0 0,0 0 0
LoremIpsumDolot,pixwhlifpvfhecu,0 0 0,0 0 0
EnigmaMachine,fqgahwoxznbml,0 0 0,0 0 0
class,gvptc,16 4 21,0 0 0
if,pw,16 4 21,0 0 0
then,qmnx,16 4 21,0 0 0
else,kvjh,16 4 21,0 0 0
switch,ofxssu,16 4 21,0 0 0
async,lzwxs,16 4 21,0 0 0
await,lfpvl,16 4 21,0 0 0
throw,qmdce,16 4 21,0 0 0
request,wjlbwyh,16 4 21,0 0 0
future,nxkbvw,16 4 21,0 0 0
void,mbxq,16 4 21,0 0 0
tuple,qxayw,16 4 21,0 0 0
