Plaintext,Ciphertext,Rotor Configurations,Ring Configurations
class,nuywl,0 0 0,0 0 0
if,os,0 0 0,0 0 0
then,lmva,0 0 0,0 0 0
else,ruwr,0 0 0,0 0 0
switch,vpmdgj,0 0 0,0 0 0
async,hfaag,0 0 0,0 0 0
await,hpyzj,0 0 0,0 0 0
throw,lmpbr,0 0 0,0 0 0
request,ejnlvce,0 0 0,0 0 0
future,klxlwu,0 0 0,0 0 0
void,symt,0 0 0,0 0 0
tuple,llruv,0 0 0,0 0 0
The Fox Jumps High,lmv khg pwjnu ykqm,0 0 0,0 0 0
Lorem Ipsum Dolot,typrz njvdj lpobv,0 0 0,0 0 0
Enigma Machine,rammzd uhkrmkd,0 0 0,0 0 0
class,quhiy,16 4 21,0 0 0
if,uq,16 4 21,0 0 0
then,osid,16 4 21,0 0 0
else,kuuy,16 4 21,0 0 0
switch,wxeqku,16 4 21,0 0 0
async,vhvdk,16 4 21,0 0 0
await,vxhsr,16 4 21,0 0 0
throw,oschj,16 4 21,0 0 0
request,prtmxnv,16 4 21,0 0 0
future,hlqmtc,16 4 21,0 0 0
void,ayen,16 4 21,0 0 0
tuple,oljpx,16 4 21,0 0 0
