Plaintext,Ciphertext,Rotor Configurations,Ring Configurations
class,fjkfg,0 0 0,0 0 0
if,aa,0 0 0,0 0 0
then,vxgm,0 0 0,0 0 0
else,pjpt,0 0 0,0 0 0
switch,msdezy,0 0 0,0 0 0
async,iwhmz,0 0 0,0 0 0
await,iskvf,0 0 0,0 0 0
throw,vxqzr,0 0 0,0 0 0
request,qprhdnd,0 0 0,0 0 0
future,czjhwl,0 0 0,0 0 0
void,tbdp,0 0 0,0 0 0
tuple,vzsjd,0 0 0,0 0 0
TheFoxJumpsHigh,vxgsxiqidallknk,0 0 0,0 0 0
LoremIpsumDolot,ybqtyxfmecxgpxu,0 0 0,0 0 0
EnigmaMachine,ptdwykwdfyuux,0 0 0,0 0 0
class,bztda,16 4 21,0 0 0
if,lo,16 4 21,0 0 0
then,auko,16 4 21,0 0 0
else,gzcy,16 4 21,0 0 0
switch,dnglft,16 4 21,0 0 0
async,tboof,16 4 21,0 0 0
await,tntbe,16 4 21,0 0 0
throw,aumnu,16 4 21,0 0 0
request,upzptvl,16 4 21,0 0 0
future,khapzk,16 4 21,0 0 0
void,wfgs,16 4 21,0 0 0
tuple,ahftt,16 4 21,0 0 0
